M,R1,L1,R2,L2,R3,L3
1,0.0261920717804306,0.000879587347240731,0,0,0,0
2,6439.8894809126,0.0916905599470564,0.0261909533984268,0.000879870693721468,0,0
3,5887.58283380448,0.12260036298166,24546.7467782314,290.553668297685,0.0261909692700086,0.000879877794002136
